#{"t_start": 1781161091.3453863, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,423.518164,0.0
-100.0,100,427.895449,0.0
-100.0,100,432.278396,0.0
-100.0,100,436.609487,0.0
-100.0,100,440.871253,0.0
-100.0,100,445.194866,0.0
-100.0,100,449.515173,0.0
-100.0,100,453.893255,0.0
-99.0,100,458.273616,0.0
-100.0,100,462.640926,0.0
-100.0,100,467.021195,0.0
-100.0,100,471.353503,0.0
-100.0,100,475.635041,0.0
-100.0,100,479.966803,0.0
-100.0,100,484.289425,0.0
-100.0,100,488.714273,0.0
-100.0,100,493.047526,0.0
-100.0,100,497.369928,0.0
-100.0,100,501.682784,0.0
-100.0,100,506.121367,0.0
-100.0,100,510.501022,0.0
-100.0,100,514.827231,0.0
-100.0,100,519.108741,0.0
-100.0,100,523.191013,0.0
-100.0,100,527.426199,0.0
-100.0,100,531.740954,0.0
-100.0,100,536.130838,0.0
-100.0,100,540.450789,0.0
-100.0,100,544.781527,0.0
-100.0,100,549.160889,0.0
-100.0,100,553.444623,0.0
-100.0,100,557.778562,0.0
-100.0,100,562.130724,0.0
-100.0,100,566.483987,0.0
-100.0,100,570.702303,0.0
-100.0,100,575.03922,0.0
-100.0,100,579.468205,0.0
-100.0,100,583.888572,0.0
-100.0,100,588.166791,0.0
-100.0,100,592.499805,0.0
-100.0,100,596.719233,0.0
-100.0,100,601.100582,0.0
-100.0,100,605.437071,0.0
-100.0,100,609.745002,0.0
-100.0,100,614.12421,0.0
-100.0,100,618.402329,0.0
-97.0,100,622.681636,0.0
-100.0,100,627.050355,0.0
-100.0,100,631.443978,0.0
-100.0,100,635.779271,0.0
-100.0,100,640.054753,0.0
-100.0,100,644.551126,0.0
-100.0,100,648.448426,0.0
-100.0,100,652.77072,0.0
-100.0,100,657.096673,0.0
-100.0,100,661.535487,0.0
-100.0,100,665.968836,0.0
-100.0,100,670.355089,0.0
-100.0,100,674.67145,0.0
-100.0,100,679.101256,0.0
-100.0,100,683.391824,0.0
-100.0,100,687.815086,0.0
-100.0,100,692.209093,0.0
-100.0,100,696.586709,0.0
-100.0,100,700.893319,0.0
-100.0,100,705.206746,0.0
-100.0,100,709.484755,0.0
-100.0,100,713.864495,0.0
-100.0,100,718.12717,0.0
-100.0,100,722.464891,0.0
-100.0,100,726.857743,0.0
-100.0,100,731.191703,0.0
-100.0,100,735.552156,0.0
-100.0,100,739.991741,0.0
-100.0,100,744.268168,0.0
-100.0,100,748.687291,0.0
-100.0,100,753.058656,0.0
-100.0,100,757.342938,0.0
-100.0,100,761.764053,0.0
-100.0,100,766.097633,0.0
-100.0,100,770.422934,0.0
-100.0,100,774.20877,0.0
-100.0,100,778.580761,0.0
-100.0,100,782.953561,0.0
-100.0,100,787.325474,0.0
-100.0,100,791.711615,0.0
-100.0,100,796.093913,0.0
-100.0,100,800.471444,0.0
-100.0,100,804.906873,0.0
-100.0,100,809.197679,0.0
-100.0,100,813.560364,0.0
-100.0,100,817.894171,0.0
-100.0,100,821.964496,0.0
-100.0,100,826.390622,0.0
-100.0,100,830.712903,0.0
-100.0,100,835.047327,0.0
-100.0,100,839.429368,0.0
-100.0,100,843.75538,0.0
-100.0,100,848.118717,0.0
-100.0,100,852.453686,0.0
-100.0,100,856.832477,0.0
-100.0,100,861.049649,0.0
-100.0,100,865.389343,0.0
-100.0,100,869.709308,0.0
-100.0,100,874.106964,0.0
-100.0,100,878.491767,0.0
-100.0,100,882.801714,0.0
-100.0,100,887.241152,0.0
-100.0,100,891.604905,0.0
-100.0,100,895.886927,0.0
-100.0,100,899.782127,0.0
-100.0,100,904.203894,0.0
-100.0,100,908.58079,0.0
-100.0,100,912.908168,0.0
-100.0,100,917.315954,0.0
-100.0,100,921.662147,0.0
-100.0,100,926.040852,0.0
-100.0,100,930.36293,0.0
-100.0,100,934.823323,0.0
-100.0,100,939.217819,0.0
-100.0,100,943.297604,0.0
-100.0,100,947.725802,0.0
-100.0,100,952.044839,0.0
-100.0,100,956.467761,0.0
-100.0,100,960.806381,0.0
-100.0,100,965.189175,0.0
-100.0,100,969.519359,0.0
-99.0,100,973.792996,0.0
-100.0,100,978.214683,0.0
-100.0,100,982.542716,0.0
-100.0,100,986.808709,0.0
-100.0,100,991.254704,0.0
-100.0,100,995.595201,0.0
-100.0,100,999.919384,0.0
-100.0,100,1004.355304,0.0
-100.0,100,1008.6418,0.0
-100.0,100,1012.976326,0.0
-100.0,100,1017.319562,0.0
-100.0,100,1021.650213,0.0
-100.0,100,1025.52092,0.0
-100.0,100,1029.887871,0.0
-100.0,100,1034.244659,0.0
-100.0,100,1038.677437,0.0
-100.0,100,1042.943259,0.0
-100.0,100,1047.378799,0.0
-100.0,100,1051.693979,0.0
-100.0,100,1055.908399,0.0
-100.0,100,1060.324273,0.0
-100.0,100,1064.803484,0.0
-100.0,100,1069.133112,0.0
-100.0,100,1073.501842,0.0
-100.0,100,1077.890902,0.0
-100.0,100,1082.318739,0.0
-100.0,100,1086.69848,0.0
-100.0,100,1091.07689,0.0
-100.0,100,1095.355994,0.0
-100.0,100,1099.729074,0.0
-100.0,100,1104.105261,0.0
-100.0,100,1108.553748,0.0
-100.0,100,1112.925364,0.0
-100.0,100,1117.12417,0.0
-100.0,100,1121.505284,0.0
-100.0,100,1125.83075,0.0
-100.0,100,1130.155875,0.0
-100.0,100,1134.523025,0.0
