#{"t_start": 1781144250.7573416, "env_id": "HandManipulateBlockRotateZ-v1"}
r,l,t,is_success
-100.0,100,105.036089,0.0
-100.0,100,105.671726,0.0
-100.0,100,106.306849,0.0
-100.0,100,106.946532,0.0
-100.0,100,108.858705,0.0
-100.0,100,109.486244,0.0
-100.0,100,110.101383,0.0
-100.0,100,110.715161,0.0
-100.0,100,111.361787,0.0
-100.0,100,112.003055,0.0
-100.0,100,112.637147,0.0
-100.0,100,113.264039,0.0
-100.0,100,113.912949,0.0
-100.0,100,114.551543,0.0
-100.0,100,115.200028,0.0
-100.0,100,115.833421,0.0
-100.0,100,116.530258,0.0
-100.0,100,117.193111,0.0
-100.0,100,117.871226,0.0
-100.0,100,118.523713,0.0
-100.0,100,119.180855,0.0
-100.0,100,119.843635,0.0
-100.0,100,120.488148,0.0
-100.0,100,121.099826,0.0
-100.0,100,121.774331,0.0
-100.0,100,122.441647,0.0
-100.0,100,123.101246,0.0
-100.0,100,123.758006,0.0
-100.0,100,124.409102,0.0
-100.0,100,125.070671,0.0
-100.0,100,125.723053,0.0
-100.0,100,126.401839,0.0
-100.0,100,127.05539,0.0
-100.0,100,127.723779,0.0
-100.0,100,128.422725,0.0
-100.0,100,129.078752,0.0
-100.0,100,129.727121,0.0
-100.0,100,130.371229,0.0
-100.0,100,131.107295,0.0
-100.0,100,131.758351,0.0
-100.0,100,132.413494,0.0
-100.0,100,133.058641,0.0
-100.0,100,133.690358,0.0
-100.0,100,134.328512,0.0
-100.0,100,134.967762,0.0
-100.0,100,135.604215,0.0
-100.0,100,136.258108,0.0
-100.0,100,136.895835,0.0
-100.0,100,137.543272,0.0
-100.0,100,138.177621,0.0
-100.0,100,138.827423,0.0
-100.0,100,139.478397,0.0
-100.0,100,140.119378,0.0
-100.0,100,140.769523,0.0
-100.0,100,141.418036,0.0
-100.0,100,142.102245,0.0
-100.0,100,142.792773,0.0
-100.0,100,143.51347,0.0
-100.0,100,144.221707,0.0
-100.0,100,144.86541,0.0
-100.0,100,145.491119,0.0
-100.0,100,146.151651,0.0
-100.0,100,146.791422,0.0
-100.0,100,147.432541,0.0
-100.0,100,148.071341,0.0
-100.0,100,148.770385,0.0
-100.0,100,149.473518,0.0
-100.0,100,150.114178,0.0
-100.0,100,150.76314,0.0
-100.0,100,151.380111,0.0
-100.0,100,152.035104,0.0
-100.0,100,152.674662,0.0
-100.0,100,153.329746,0.0
-100.0,100,153.97227,0.0
-100.0,100,154.621276,0.0
-100.0,100,155.274497,0.0
-100.0,100,155.914305,0.0
-100.0,100,156.564861,0.0
-100.0,100,157.210958,0.0
-100.0,100,157.859922,0.0
-100.0,100,158.534303,0.0
-100.0,100,159.181191,0.0
-100.0,100,159.840279,0.0
-100.0,100,160.492692,0.0
-100.0,100,161.155476,0.0
-100.0,100,161.807804,0.0
-100.0,100,162.458472,0.0
-100.0,100,163.11248,0.0
-100.0,100,163.769049,0.0
-100.0,100,164.411704,0.0
-100.0,100,165.056501,0.0
-100.0,100,165.702339,0.0
-100.0,100,166.339149,0.0
-100.0,100,166.982531,0.0
-100.0,100,167.632022,0.0
-100.0,100,168.280507,0.0
-100.0,100,168.932496,0.0
-100.0,100,169.584985,0.0
-100.0,100,170.232869,0.0
-99.0,100,170.96215,0.0
-100.0,100,171.644518,0.0
-100.0,100,172.270251,0.0
-100.0,100,172.948801,0.0
-87.0,100,173.763187,0.0
-100.0,100,175.863794,0.0
-100.0,100,176.536191,0.0
-100.0,100,177.17257,0.0
-100.0,100,177.791469,0.0
-100.0,100,178.422552,0.0
-100.0,100,179.058622,0.0
-100.0,100,179.708284,0.0
-100.0,100,180.33865,0.0
-100.0,100,180.981998,0.0
-100.0,100,181.634113,0.0
-100.0,100,182.280381,0.0
-100.0,100,182.939485,0.0
-100.0,100,183.597847,0.0
-100.0,100,184.246229,0.0
-97.0,100,184.904198,0.0
-100.0,100,185.548224,0.0
-76.0,100,186.227893,0.0
-100.0,100,186.928412,0.0
-100.0,100,187.69098,0.0
-100.0,100,188.410524,0.0
-100.0,100,189.091616,0.0
-100.0,100,189.783198,0.0
-100.0,100,190.452465,0.0
-100.0,100,191.15425,0.0
-100.0,100,191.802267,0.0
-100.0,100,192.492963,0.0
-100.0,100,193.158492,0.0
-100.0,100,193.801047,0.0
-100.0,100,194.475533,0.0
-100.0,100,195.232792,0.0
-100.0,100,196.02189,0.0
-100.0,100,196.734371,0.0
-100.0,100,197.419157,0.0
-100.0,100,198.126515,0.0
-100.0,100,198.856645,0.0
-100.0,100,199.585541,0.0
-100.0,100,200.334804,0.0
-100.0,100,201.006641,0.0
-100.0,100,201.652436,0.0
-100.0,100,202.304141,0.0
-100.0,100,202.970594,0.0
-100.0,100,203.67005,0.0
-100.0,100,204.350364,0.0
-100.0,100,205.038399,0.0
-100.0,100,205.839313,0.0
-100.0,100,206.546373,0.0
-100.0,100,207.211311,0.0
-100.0,100,207.918025,0.0
-100.0,100,208.651804,0.0
-100.0,100,209.373005,0.0
-100.0,100,210.043923,0.0
-100.0,100,210.713963,0.0
-100.0,100,211.365171,0.0
-100.0,100,211.982388,0.0
-48.0,100,212.620106,0.0
-100.0,100,213.258929,0.0
-100.0,100,213.894789,0.0
-100.0,100,214.539692,0.0
-100.0,100,215.147795,0.0
-100.0,100,215.772919,0.0
-100.0,100,216.412254,0.0
-100.0,100,217.054142,0.0
-91.0,100,217.706237,1.0
-86.0,100,218.373989,0.0
-100.0,100,219.036794,0.0
-100.0,100,219.705904,0.0
-100.0,100,220.363293,0.0
-100.0,100,221.102368,0.0
-100.0,100,221.762761,0.0
-100.0,100,222.41173,0.0
-100.0,100,223.0667,0.0
-100.0,100,223.700916,0.0
-100.0,100,224.368091,0.0
-100.0,100,225.012438,0.0
-100.0,100,225.646546,0.0
-100.0,100,226.25747,0.0
-94.0,100,226.90852,0.0
-100.0,100,227.564144,0.0
-100.0,100,228.1981,0.0
-100.0,100,228.851798,0.0
-100.0,100,229.508977,0.0
-100.0,100,230.120641,0.0
-100.0,100,230.791529,0.0
-100.0,100,231.429896,0.0
-100.0,100,232.122446,0.0
-100.0,100,232.763462,0.0
-100.0,100,233.41308,0.0
-100.0,100,234.072751,0.0
-100.0,100,234.713625,0.0
-100.0,100,235.362177,0.0
